"AFS_NAME","species","NAME","FUS_NAME"
"SNAKE MACKEREL","2504","Snake Mackerel","Other marine finfishes"
"OPALEYE","2505","Opaleye","Other marine finfishes"
"PADDLEFISH","2510","Paddlefish","Other freshwater finfishes"
"PARROTFISHES","2520","Parrotfish","Other marine finfishes"
"CRIMSON ROVER","2525","Crimson Rover","Other marine finfishes"
"SURFPERCHES","2530","Surfperch,Pa","Other marine finfishes"
"PERCH, SHINER","2531","Perch,Shiner","Other marine finfishes"
"SEAPERCH, STRIPED","2532","Seaperch,Striped","Other marine finfishes"
"PERCH, BLACK","2533","Perch,Black","Other marine finfishes"
"SURFPERCH, WALLEYE","2534","Surfperch,Walleye","Other marine finfishes"
"SURFPERCH, SILVER","2535","Surfperch,Silver","Other marine finfishes"
"SEAPERCH, WHITE","2536","Seaperch,White","Other marine finfishes"
"PERCH, PILE","2537","Perch,Nile","Other marine finfishes"
"SEAPERCH, RUBBERLIP","2538","Seaperch,Rubberlip","Other marine finfishes"
"SURFPERCH, REDTAIL","2539","Surfperch,Redtail","Other marine finfishes"
"SURFPERCH, BARRED","2540","Surfperch,Barred","Other marine finfishes"
"SURFPERCH, CALICO","2541","Seaperch,Calico","Other marine finfishes"
"SEAPERCH, RAINBOW","2542","Seaperch,Rainbow","Other marine finfishes"
"PERCH, DWARF","2543","Perch,Dwarf","Other marine finfishes"
"SEAPERCH, PINK","2544","Seaperch,Pink","Other marine finfishes"
"PERMIT","2550","Permit","Other marine finfishes"
"PIGFISH","2580","Pigfish","Other marine finfishes"
"PIKES","2610","Pikes Or Pickerels","Other freshwater finfishes"
"PILOTFISH","2640","Pilotfish","Other marine finfishes"
"PINFISH","2670","Pinfish","Other marine finfishes"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK, WALLEYE","2692","Pollock,Walleye(Alaska)","Pollock, Walleye (Alaska)"
"POLLOCK","2695","Pollock,At & Pa,Unc","Pollock, Atlantic"
"POMFRETS","2710","Pomfrets","Other marine finfishes"
"POMPANO, FLORIDA","2720","Pompano","Other marine finfishes"
"POMPANO, PACIFIC","2721","Pompano,Pa","Other marine finfishes"
"PORKFISH","2750","Porkfish","Other marine finfishes"
"PUFFERS","2760","Puffers","Other marine finfishes"
"PUDDINGWIFE (WRASSE)","2765","Puddingwife (Wrasse)","Other marine finfishes"
"QUILLBACK","2810","Quillback","Other marine finfishes"
"QUEENFISH","2820","Queenfish","Other marine finfishes"
"RATFISH SPOTTED","2840","Ratfish","Other marine finfishes"
"TROUT, RAINBOW","2850","Trout,Rainbow (steelhead)","Trout, Rainbow (steelhead)"
"STINGRAY, PELAGIC","2859",,
"RAYS","2860","Rays,Unc.","Skates"
"RAY, PACIFIC ELECTRIC","2861","Ray,Electric,Pa","Skates"
"STINGRAYS","2862","Stingrays","Skates"
"RAY, BAT","2863","Ray,Bat","Skates"
"MANTAS","2864",,
"REMORA","2865","Remora","Other marine finfishes"
"CALIFORNIA ROACH","2870","Roach,California","Other freshwater finfishes"
"BASS, ROCK","2900","Rock Bass,Fw","Other freshwater finfishes"
"BASS, KELP","2927","Bass,Kelp","Other marine finfishes"
"SAND BASS, SPOTTED","2928","Sand Bass,Spotted","Other marine finfishes"
"SAND BASS, BARRED","2929","Sand Bass,Barred","Other marine finfishes"
"ROCK BASSES, PACIFIC","2930","Rock Basses,Pacific","Other marine finfishes"
"ROCKFISH, BLACK","2931","Rockfish,Black","Rockfishes, other"
"ROCKFISH, BOCACCIO","2932","Rockfish,Bocaccio","Rockfish, Bocaccio"
"ROCKFISH, BROWN","2933","Rockfish,Brown","Rockfishes, other"
"ROCKFISH, CHINA","2934","Rockfish,China","Rockfishes, other"
"ROCKFISH, CHILIPEPPER","2935","Rockfish,Chilipepper","Rockfish, Chilipepper"
"ROCKFISH, CANARY","2936","Rockfish,Canary","Rockfish, Canary"
"ROCKFISH, COWCOD","2937","Rockfish,Cowcod","Rockfishes, other"
"ROCKFISH, BLACKGILL","2938","Rockfish,Blackgill","Rockfishes, other"
"ROCKFISH, BLUE","2939","Rockfish,Blue","Rockfishes, other"
"ROCKFISH, DARKBLOTCHED","2940","Rockfish,Darkblotched","Rockfishes, other"
"ROCKFISH, REDSTRIPE","2941","Rockfish,Redstriped","Rockfishes, other"
"ROCKFISH, SHARPCHIN","2942","Rockfish,Sharpchin","Rockfishes, other"
"ROCKFISH, SILVERGRAY","2943","Rockfish,Silvergray","Rockfishes, other"
"ROCKFISH, SPLITNOSE","2944","Rockfish,Splitnose","Rockfishes, other"
"ROCKFISH, SHORTBELLY","2945","Rockfish,Shortbelly","Rockfishes, other"
"ROCKFISH, YELLOWEYE","2946","Rockfish,Yelloweye","Rockfishes, other"
"ROCKFISH, YELLOWMOUTH","2947","Rockfish,Yellowmouth","Rockfishes, other"
"ROCKFISH, YELLOWTAIL","2948","Rockfish,Yellowtail","Rockfish, Yellowtail"
"ROCKFISH, WIDOW","2949","Rockfish,Widow","Rockfish, Widow"
"ROCKFISHES","2951","Rockfish,Bocaccio/Chillipepper Grp","Rockfishes, other"
"ROCKFISHES","2952","Rockfish,Bolina Group","Rockfishes, other"
"ROCKFISHES","2953","Rockfish,Deepwater Red Group","Rockfishes, other"
"ROCKFISHES","2954","Rockfish,Red Group","Rockfishes, other"
"ROCKFISHES","2955","Rockfish,Small Red Group","Rockfishes, other"
"ROCKFISHES","2956","Rockfish,Rosefish Group","Rockfishes, other"
"ROCKFISHES","2957","Rockfish,Gopher Group","Rockfishes, other"
"THORNYHEAD, SHORTSPINE","2958","Scorpionfish-Thornyheads","Rockfishes, other"
"SCORPIONFISHES","2959","Scorpionfish-Thornyheads","Rockfishes, other"
"ROCKFISHES","2960","Rockfishes","Rockfishes, other"
"ROCKFISH, AURORA","2961","Rockfish,Aurora","Rockfishes, other"
"ROCKFISH, REDBANDED","2962","Rockfish,Redbanded","Rockfishes, other"
"ROCKFISH, COPPER","2963","Rockfish,Copper","Rockfishes, other"
"ROCKFISH, GREENSTRIPED","2964","Rockfish,Greenstriped","Rockfishes, other"
"ROCKFISH, VERMILION","2965","Rockfish,Vermilion","Rockfishes, other"
"ROCKFISH, ROSY","2966","Rockfish,Rosy","Rockfishes, other"
"ROCKFISH, STRIPETAIL","2967","Rockfish,Striptail","Rockfishes, other"
"ROCKFISH, KELP","2968","Rockfish,Kelp","Rockfishes, other"
"ROCKFISH, GREENSPOTTED","2969","Rockfish,Greenspotted","Rockfishes, other"
"ROCKFISH, STARRY","2970","Rockfish,Starry","Rockfishes, other"
"ROCKFISH, CALICO","2971","Rockfish,Calico","Rockfishes, other"
"ROCKFISH, PINK","2972","Rockfish,Pink","Rockfishes, other"
"ROCKFISH, BRONZESPOTTED","2973","Rockfish,Bronzespotted","Rockfishes, other"
"ROCKFISH, SQUARESPOT","2974","Rockfish,Squarespot","Rockfishes, other"
"ROCKFISH, SPECKLED","2975","Rockfish,Speckled","Rockfishes, other"
"ROCKFISH, CHAMELEON","2976","Rockfish,Chameleon","Rockfishes, other"
"ROCKFISH, GRASS","2977","Rockfish,Grass","Rockfishes, other"
"ROCKFISH, FLAG","2978","Rockfish,Flag","Rockfishes, other"
"ROCKFISH, BANK","2979","Rockfish,Bank","Rockfishes, other"
"ROCKFISH, OLIVE","2980","Rockfish,Olive","Rockfishes, other"
"ROCKFISH, TREEFISH","2981","Rockfish,Treefish","Rockfishes, other"
"ROCKFISH, HONEYCOMB","2982","Rockfish,Honeycomb","Rockfishes, other"
"ROCKFISH, WHITEBELLY","2983","Rockfish,Whitebelly","Rockfishes, other"
"ROCKFISH, GOPHER","2984","Rockfish,Gopher","Rockfishes, other"
"ROCKFISH, SWORDSPINE","2985","Rockfish,Swordspine","Rockfishes, other"
"ROCKFISH, PINKROSE","2986","Rockfish,Pinkrose","Rockfishes, other"
"ROCKFISH, GREENBLOTCHED","2987","Rockfish,Greenblotched","Rockfishes, other"
"ROCKFISH, BLACK-AND-YELLOW","2988","Rockfish,Black-And-Yellow","Rockfishes, other"
"SEA CHUBS","2990","Rudderfish (Sea Chubs)","Other marine finfishes"
"LEATHER-BACK","2996","Runner","Other marine finfishes"
"ROUGHY, BIG","3001","Big Roughy","Other marine finfishes"
"THORNYHEAD, LONGSPINE","3019","Thornyhead,Longspine","Rockfishes, other"
"SABLEFISH","3020","Sablefish","Sablefish"
"SAILFISH","3026","Sailfishes","Spearfishes (billfishes)"
"ROUGHY, ORANGE","3030",,
"SALMON, ATLANTIC","3050","Salmon,At","Other marine finfishes"
"SALMON, CHINOOK","3080","Salmon,Pa,King","Salmon, Chinook or King"
"SALMON, CHUM","3081","Salmon,Pa,Chum","Salmon, Chum"
"SALMON, PINK","3082","Salmon,Pa,Pink","Salmon, Pink"
"SALMON, SOCKEYE","3083","Salmon,Pa,Sockeye","Salmon, Sockeye or Red"
"SALMON, COHO","3084","Salmon,Pa,Coho","Salmon, Silver or Coho"
"SALMON, PACIFIC","3085","Salmon,Pa,Unc,","Other marine finfishes"
"SALMON, PACIFIC","3086","Salmon,Pa,Unc,Roe","Other marine finfishes"
"SAND PERCH","3110","Sand Perch","Other marine finfishes"
"SAND PERCH, DWARF","3111","Sand Perch,Dwarf","Other marine finfishes"
"SARDINE, PACIFIC","3140","Sardine,Pa","Sardine, Pacific"
"SAUGER","3170","Sauger","Other freshwater finfishes"
"SAURY, ATLANTIC","3196","Saury,At","Other marine finfishes"
"SAURY, PACIFIC","3198","Saury,Pa","Other marine finfishes"
"SAURIES","3220","Saury,Pa&at","Other marine finfishes"
"SAWFISH, SMALLTOOTH","3230","Sawfish","Other marine finfishes"
"SCADS","3236","Scads(Except Bigeye)","Other marine finfishes"
"SCAD, ROUGH","3237","Scads,Rough","Other marine finfishes"
"SCULPINS","3260","Sculpins","Other marine finfishes"
"SCORPIONFISHES","3261","Scorpionfishes","Other marine finfishes"
"SCULPIN, YELLOWCHIN","3262","Sculpin,Yellowfin","Other marine finfishes"
"SCORPIONFISH, SPINYCHEEK","3263","Spinycheek Scorpionfish","Other marine finfishes"
"SCULPIN, PACIFIC STAGHORN","3264","Sculpin,Pacific Staghorn","Other marine finfishes"
"SCORPIONFISH, SPOTTED","3265","Spotted Scorpionfish","Other marine finfishes"
"SEA RAVEN","3270","Sea Raven","Other marine finfishes"
"SCUPS OR PORGIES","3289","Scups Or Porgies,Jumbo","Scup Or Porgy"
"SCUPS OR PORGIES","3290","Scups Or Porgies,Lg","Scup Or Porgy"
"SCUPS OR PORGIES","3290","Scups Or Porgies,Lg","Scup Or Porgy"
"SCUPS OR PORGIES","3292","Scups Or Porgies,Md","Scup Or Porgy"
"SCUPS OR PORGIES","3293","Scups Or Porgies,Sm","Scup Or Porgy"
"SCUPS OR PORGIES","3293","Scups Or Porgies,Sm","Scup Or Porgy"
"SCUPS OR PORGIES","3295","Scups Or Porgies,Unc","Scup Or Porgy"
"SCUP","3298","Scup","Scup Or Porgy"
"PORGY, LONGSPINE","3299","Porgy,Longspine","Other marine finfishes"
"PORGY, RED","3300","Porgy,Red, Large","Other marine finfishes"
"PORGY, RED","3301","Porgy,Red, Medium","Other marine finfishes"
"PORGY, RED","3302","Porgy,Red","Other marine finfishes"
"PORGY, RED","3303","Porgy,Red, Small","Other marine finfishes"
"PORGY, SAUCEREYE","3304","Porgy,Saucereye","Other marine finfishes"
"PORGY,GRASS","3305","Pogy,Grass","Other marine finfishes"
"PORGY, WHITEBONE","3306","Porgy,Whitebone","Other marine finfishes"
"PORGY, KNOBBED","3308","Porgy,Knobbed","Other marine finfishes"
"PORGY, LITTLEHEAD","3310","Porgy,Littlehead","Other marine finfishes"
"PORGY, JOLTHEAD","3312","Porgy,Jolthead","Other marine finfishes"
"PINFISH, SPOTTAIL","3314","Pinfish,Spottail","Other marine finfishes"
"PATAGONIAN TOOTHFISH","3340",,
"SEA BASS, BLACK","3351","Sea Basses,At,Black,Lg","Sea Bass, Black"
"SEA BASS, BLACK","3351","Sea Basses,At,Black,Lg","Sea Bass, Black"
"SEA BASS, BLACK","3353","Sea Basses,At,Black,Md","Sea Bass, Black"
"SEA BASS, BLACK","3355","Sea Basses,At,Black,Sm","Sea Bass, Black"
"SEA BASS, BLACK","3355","Sea Basses,At,Black,Sm","Sea Bass, Black"
"SEA BASS, BLACK","3360","Sea Basses,At,Black,Unc","Sea Bass, Black"
"SEA BASS, GIANT","3361","Sea Bass,Pa,Black","Other marine finfishes"
"SEA BASS, ROCK","3362","Sea Bass,Rock","Other marine finfishes"
"SEABASS, WHITE","3370","Sea Bass,Pa,White","Sea Bass, Pacific"
"SPANISH FLAG","3371","Spanish Flag","Other marine finfishes"
"BARBIER, RED","3373","Red Barbier","Other marine finfishes"
"BASS, LONGTAIL","3374","Longtail Bass","Other marine finfishes"
"SEA BASS, BANK","3375","Sea Bass,Bank","Other marine finfishes"
"SEA CATFISHES","3380","Sea Catfish","Other marine finfishes"
"SEAROBINS","3410","Sea Robins","Other marine finfishes"
"WEAKFISH","3441","Sea Trout,Gray,Lg","Sea Trout, Gray (Weakfish)"
"WEAKFISH","3443","Sea Trout,Gray,Md","Sea Trout, Gray (Weakfish)"
"WEAKFISH","3445","Sea Trout,Gray,Sm","Sea Trout, Gray (Weakfish)"
"WEAKFISH","3446","Sea Trout,Gray,Unc","Sea Trout, Gray (Weakfish)"
"SEATROUT, SPOTTED","3447","Sea Trout,Spotted","Sea Trout, Spotted"
"SEATROUT, SAND","3455","Sea Trout,White","Sea Trout, Sand (White)"
"SHAD, THREADFIN","3470","Shad,Threadfin","Other marine finfishes"
"SHAD, AMERICAN","3471","Shad,Buck","Shad, American"
"SHAD, AMERICAN","3472","Shad,Roe","Shad, American"
"SHAD, AMERICAN","3474","Shad,Unc","Shad, American"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARKS","3475","Shark,Fins no conv.","Shark, other"
"SHARK, SMOOTH DOGFISH","3476","Shark,Dogfish,Smooth,Tails","Shark, Dogfish"
"SHARK, SMOOTH DOGFISH","3477","Shark,Dogfish,Smooth,Fins","Shark, Dogfish"
"SHARK, NARROWTHOOTH","3478","Shark,Narrowtooth","Shark, other"
"SHARK, SMALLTAIL","3479","Shark,Smalltail","Shark, other"
"SHARK, NURSE","3480","Shark,Nurse","Shark, other"
"SHARK, NURSE","3480","Shark,Nurse","Shark, other"
"SHARK, FINETOOTH","3481","Shark,Finetooth","Shark, other"
"SHARK, SAND TIGER","3482","Shark,Sand Tiger","Shark, other"
"SHARK, SAND TIGER","3482","Shark,Sand Tiger","Shark, other"
"SHARK, BONNETHEAD","3483","Shark,Bonnethead","Shark, other"
"SHARK, BASKING","3484","Shark,Basking","Shark, other"
"SHARK, BASKING","3484","Shark,Basking","Shark, other"
"SHARK, BLACKNOSE","3485","Shark,Blacknose","Shark, other"
"SHARK, SAND TIGER","3486","Shark,Sand Tiger Fins no conv","Shark, other"
"SHARK, SANDBAR","3487","Shark,Sandbar Fins no conv","Shark, other"
"SHARK, ATLANTIC SHARPNOSE","3488","Shark,At Sharpnose Fins ncf","Shark, other"
"SHARK, DUSKY","3489","Shark,Dusky Fins no conv","Shark, other"
"SHARK, REEF","3490","Shark,Reef","Shark, other"
"SHARK, BIGNOSE","3491","Shark,Bignose","Shark, other"
"SHARK, BIGNOSE","3491","Shark,Bignose","Shark, other"
"SHARK, GALAPAGOS","3492","Shark,Galapagos","Shark, other"
"SHARK, SILKY","3493","Shark,Silky","Shark, other"
"SHARK, SILKY","3493","Shark,Silky","Shark, other"
"SHARK, NIGHT","3494","Shark,Night","Shark, other"
"SHARK, NIGHT","3494","Shark,Night","Shark, other"
"SHARK, BLACKTIP","3495","Shark,Black Tip","Shark, other"
"SHARK, BLACKTIP","3495","Shark,Black Tip","Shark, other"
"SHARK, SPINNER","3496","Shark,Spinner","Shark, other"
"SHARK, SPINNER","3496","Shark,Spinner","Shark, other"
"SHARK, BULL","3497","Shark,Bull","Shark, other"
"SHARK, BULL","3497","Shark,Bull","Shark, other"
"SHARK, OCEANIC WHITETIP","3498","Shark,Oceanic Whitetip","Shark, other"
"SHARK, OCEANIC WHITETIP","3498","Shark,Oceanic Whitetip","Shark, other"
"SHARK, THRESHER","3499","Shark,Thesher Fins no cnv avlb.","Shark, other"
"THRESHER SHARKS","3500","Shark,Thresher","Shark, other"
"SHARK, PORBEAGLE","3501","Sharks,Porbeagle","Shark, other"
"SHARK, PORBEAGLE","3501","Sharks,Porbeagle","Shark, other"
"SHARK, LONGFIN MAKO","3502","Shark,Longfin Mako","Shark, other"
"SHARK, LONGFIN MAKO","3502","Shark,Longfin Mako","Shark, other"
"SHARK, DOGFISH","3503","Sharks,Dogfish,Unc","Shark, Dogfish"
"SHARK, DOGFISH","3503","Sharks,Dogfish,Unc","Shark, Dogfish"
"SHARK, DOGFISH","3503","Sharks,Dogfish,Unc","Shark, Dogfish"
"SHARK, BLUE","3504","Sharks,Blue","Shark, other"
"SHARK, BLUE","3504","Sharks,Blue","Shark, other"
"SHARK, SHORTFIN MAKO","3505","Sharks,Bonito(Shortfin Mako)","Shark, other"
"SHARK, SHORTFIN MAKO","3505","Sharks,Bonito(Shortfin Mako)","Shark, other"
"SHARK, SOUPFIN","3506","Sharks,Soupfin","Shark, other"
"SHARK, LEOPARD","3507","Sharks,Leopard","Shark, other"
"SHARKS","3508","Sharks,Unc","Shark, other"
"SHARKS","3508","Sharks,Unc","Shark, other"
"SHARKS","3508","Sharks,Unc","Shark, other"
"SHARK, THRESHER","3509","Sharks,Thresher","Shark, other"
"SHARK, THRESHER","3509","Sharks,Thresher","Shark, other"
"SHARK, BIGEYE THRESHER","3510","Sharks, Bigeye Thresher","Shark, other"
"SHARK, BIGEYE THRESHER","3510","Sharks, Bigeye Thresher","Shark, other"
"SHARK, SMOOTH DOGFISH","3511","Sharks,Dogfish,Smooth","Shark, Dogfish"
"SHARK, SMOOTH DOGFISH","3511","Sharks,Dogfish,Smooth","Shark, Dogfish"
"SHARK, WHITE","3512","Shark,White","Shark, other"
"SHARK, WHITE","3512","Shark,White","Shark, other"
"SHARK, SANDBAR","3513","Shark,Sandbar","Shark, other"
"SHARK, SANDBAR","3513","Shark,Sandbar","Shark, other"
"SHARK, DUSKY","3514","Shark,Dusky","Shark, other"
"SHARK, DUSKY","3514","Shark,Dusky","Shark, other"
"SHARK, TIGER","3515","Shark,Tiger","Shark, other"
"SHARK, TIGER","3515","Shark,Tiger","Shark, other"
"SHARK, HAMMERHEAD","3516","Shark,Hammerhead","Shark, other"
"SHARK, HAMMERHEAD","3516","Shark,Hammerhead","Shark, other"
"SHARK, LEMON","3517","Shark,Lemon","Shark, other"
"SHARK, LEMON","3517","Shark,Lemon","Shark, other"
"SHARK, ATLANTIC SHARPNOSE","3518","Shark,Atlantic Sharpnose","Shark, other"
"SHARK, ATLANTIC SHARPNOSE","3518","Shark,Atlantic Sharpnose","Shark, other"
"SHARK, PACIFIC ANGEL","3519","Shark,Pacific Angel","Shark, other"
"INCONNU","3520","Sheefish","Other marine finfishes"
"SHARK, SPINY DOGFISH","3521","Sharks,Dogfish,Spiny","Shark, Dogfish"
"SHARK, SPINY DOGFISH","3521","Sharks,Dogfish,Spiny","Shark, Dogfish"
"SHARK, SPINY DOGFISH","3521","Sharks,Dogfish,Spiny","Shark, Dogfish"
"SHARK, SPINY DOGFISH","3521","Sharks,Dogfish,Spiny","Shark, Dogfish"
"SHARK, SPINY DOGFISH","3521","Sharks,Dogfish,Spiny","Shark, Dogfish"
"SHARK, SMOOTH HAMMERHEAD","3522","Shark,Smooth Hammerhead","Shark, other"
"SHARK, SCALLOPED HAMMERHEAD","3523","Shark,Scalloped Hammerhead","Shark, other"
"SHARK, GREAT HAMMERHEAD","3524","Shark,Great Hammerhead","Shark, other"
"SHARK, DOGFISH","3525","Sharks,Dogfish, Unknown Fins ncf","Shark, Dogfish"
"SHARK, HAMMERHEAD","3526","Shark,Hammerhead Fins no conv","Shark, other"
"SHARK, PORBEAGLE","3527","Sharks,Porbeagle Fins no conv","Shark, other"
"SHARK, SIXGILL","3528","Shark,Sixgill","Shark, other"
"SHARK, SIXGILL BIGEYE","3529","Shark,Sixgill,Bigeye","Shark, other"
"DRUM, FRESHWATER","3530","Sheepshead,Fw","Other freshwater finfishes"
"SHARK, SPINY DOGFISH","3531","Shark,Dogfish Spiny Fins","Shark, Dogfish"
"SHARK, GREENLAND","3532",,
"SHARK, LITTLE GULPER","3533",,
"SHARKS, MACKEREL","3534",,
"SHEEPSHEAD","3560","Sheepshead,At","Sheepshead, Atlantic"
"SHEEPHEAD, CALIFORNIA","3570","Sheephead, California","Other marine finfishes"
"SHARK, REQUIEM","3571",,
"SHARK, DOGFISH COLLARED","3572","Shark,Dogfish Collared (Cookie Cut","Shark, other"
"SHARK, PELAGIC THRESHER","3574","Shark,Thresher Pelagic","Shark, other"
"SHARK, GRAY SMOOTHHOUND","3575","Shark,Gray Smoothhound","Shark, Dogfish"
"SHARK, BROWN SMOOTHHOUND","3576","Shark, Brown Smoothhound","Shark, Dogfish"
"SHARKS, COW","3577","Shark, Cow","Shark, other"
"SHARK,CROCODILE","3578","Shark,Crocodile","Shark, other"
"SHARK, MAKOS","3580","Shark, Mako, Unc","Shark, other"
"SHARK, MAKOS","3580","Shark, Mako, Unc","Shark, other"
"SHARK, CARIBBEAN SHARPNOSE","3581","Shark,Caribbean Sharpnose","Shark, other"
"SHARK, ATLANTIC ANGEL","3582","Shark,Atlantic Angel","Shark, other"
"SHARK, SHARPENOSE SEVENGILL","3583","Shark,Sevengill Bigeye","Shark, other"
"SHARK, BIGEYE SAND TIGER","3584","Shark,Bigeye Sand Tiger","Shark, other"
"SHARK, WHALE","3585","Shark,Whale","Shark, other"
"SHARK, HORN","3586","Shark,Horn","Shark, other"
"SHARK, SEVENGILL","3587","Shark,Sevengill","Shark, other"
"SHARK, SALMON","3588","Shark,Salmon","Shark, other"
"SHARK, SWELL","3589","Shark,Swell","Shark, other"
"PACIFIC SIERRA","3590","Sierra","Other marine finfishes"
"CAPELIN","3610","Capelin","Other marine finfishes"
"SILVERSIDES","3620","Silversides","Other marine finfishes"
"SILVERSIDES","3620","Silversides","Other marine finfishes"
"SILVERSIDES","3620","Silversides","Other marine finfishes"
"SKATES","3650","Skates","Skates"
"SKATES","3650","Skates","Skates"
"THORNBACK","3651","Skate,Thornback","Skates"
"SKATE, BIG","3652","Skate,Big","Skates"
"SKATE, CALIFORNIA","3653","Skate,California","Skates"
"SKATE, LITTLE","3654","Skate,Little","Skates"
"SKATE, BARNDOOR","3655","Skate,Barndoor","Skates"
"SKIPPERS","3680","Skippers","Other marine finfishes"
"TUNA, BLACK SKIPJACK","3690","Skipjack Black (obsolete see 4660)","Tuna, other"
"SMELT, RAINBOW","3710","Smelt,At","Smelts"
"SMELT, RAINBOW","3711","Smelt,Great Lakes","Smelts"
"SMELT, EULACHON","3731","Smelt,Eulachon","Smelts"
"SMELTS","3732","Smelts,Surf Or Silver","Smelts"
"SMELT, SURF","3733","Smelt,Surf","Smelts"
"SMELT, NIGHT","3734","Smelt,Night","Smelts"
"SMELT, WHITEBAIT","3735","Smelt,Whitebait","Smelts"
"SNAPPER, DOG","3754","Snapper,Dog","Snapper, other"
"SNAPPER, BLACK","3755","Snapper,Black","Snapper, other"
"WENCHMAN","3756","Wenchman","Snapper, other"
"SNAPPER, BLACKFIN","3757","Snapper,Blackfin","Snapper, other"
"SNAPPER, SILK","3758","Snapper,Silk","Snapper, other"
"SNAPPER, CUBERA","3759","Snapper,Cubera","Snapper, other"
"SNAPPER, GRAY","3760","Snapper,Gray","Snapper, other"
"SNAPPER, LANE","3761","Snapper,Lane","Snapper, other"
"SNAPPER, GRAY","3762","Snapper,Mangrove","Snapper, other"
"SNAPPER, MUTTON","3763","Snapper,Mutton","Snapper, other"
"SNAPPER, RED","3764","Snapper,Red","Snapper, Red"
