"","QE_Total","QE3_Shellfish","QE2_Other","V3_Shellfish","V2_Other","QE1_Finfish","V1_Finfish","VV1_Finfish","PC1_Finfish","PI1_Finfish","Q1_Finfish","VV2_Other","PC2_Other","PI2_Other","Q2_Other","VV3_Shellfish","PC3_Shellfish","PI3_Shellfish","Q3_Shellfish","VV_Total","R1_Finfish","R2_Other","V_Total","R3_Shellfish","PC_Total","QC1_Finfish","QC2_Other","QC3_Shellfish","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1981",18338000,5094000,4025000,961000,3650000,9157000,8715000,8715000,0,1.58476979773995,5499221.40895701,3650000,0,2.09750287712691,1740164.47834372,866000,0,4.28493696597772,202103.323077099,13231000,0.653984691580369,0.273900645354945,13326000,0.0721146630646856,0,0,0,0,0,1.61247304178004,8264324.21176427,0.285645600154163,0.242278150245826
"1982",14426000,778000,3735000,290000,3005000,9858000,10885000,10885000,0.0137784217749321,1.60675654795003,6774517.28072154,3000000,-0.111922787705943,1.87540520113346,1599654.30307373,200000,0.436378523326362,6.62920153539178,30169.5458996451,14085000,0.767630465444288,0.211918194640339,14180000,0.0204513399153738,0.00280361501672231,0.148247161558875,-0.0204510520467233,-0.0880277725761225,0.0397683369360289,1.61700013856696,8769325.16070579,0.303100300071851,0.190593554119658
"1983",17896000,798000,1624000,308000,224000,15354000,28191000,28191000,0.481681585307214,2.60100826957495,10838489.1850447,224000,-1.77128093788451,0.319034448008911,702118.537349118,302000,0.0958182108442735,7.29582725428743,41393.5239245869,28717000,0.981478257842147,0.00779862827699057,28723000,0.010723113880862,0.228160161464039,0.410984139532742,-0.0904618738198734,0.00493010644094059,0.32545237215381,2.03141547369913,14139401.9942639,0.488710010036049,0.236438530744863
"1984",29402000,3873000,8400000,1340000,4400000,17129000,29084000,29084000,-0.130115701006452,2.28366923918497,12735644.681355,4400000,1.33437430394153,1.21157129660527,3631647.6069782,940000,-0.0613525582873114,6.86166427112782,136993.003862822,34424000,0.83517114633586,0.126349643923731,34824000,0.0384792097404089,-0.0301946458963116,0.146513789704388,0.110225574874793,0.0294428036992028,0.286182168278384,1.97099438992302,17668239.0259671,0.610679664896904,0.388453603093455
"1985",22022000,5940000,3625000,2046000,2109000,12108000,12613000,12613000,-0.214706370463016,1.842414785044,6845906.85137103,2109000,0.104986778115052,1.34568730170159,1567228.87801142,1996000,-0.0808867211583611,6.32850034823127,315398.576308501,16718000,0.752206583969466,0.125775286259542,16768000,0.122018129770992,-0.163666215236485,-0.492685376060851,-0.105940048862767,0.0669199517465134,-0.531705473177105,1.67342423392036,10020172.8050258,0.346334219374606,0.290950453959733
"1986",20082000,6237000,3177000,2324000,1614000,10309000,6436000,6436000,-0.377188341792108,1.26350392284089,5093771.28448416,1614000,-0.135581398629621,1.17506502781752,1373541.00563925,2324000,0.0762390387281253,6.82984742921412,340271.144280512,10374000,0.620397146712936,0.155581260844419,10374000,0.224021592442645,-0.264747551750199,-0.202893106819966,-0.0185578463894216,0.0131331802400763,-0.208317772969311,1.28418517848102,8078274.20362436,0.279215023996689,0.26531954483786
"1987",27326000,2598000,3947000,560000,2081000,20450000,12717000,12717000,0.00989044152049335,1.27606253724699,9965812.51216412,2069000,0.0471642003834172,1.2318137654429,1679637.01822742,552000,-0.274719121597831,5.18921904798894,106374.387917566,15338000,0.828037504883448,0.135499413986196,15358000,0.0364630811303555,-0.0217529376101754,0.486052671994005,0.0292806242596917,-0.151442917384434,0.363890378869263,1.25655201924467,12222335.2195414,0.422449094397999,0.361025887971286
"1988",39749000,5508000,7787000,1531000,5180000,26148000,14245000,14245000,-0.0835200161051554,1.1738150586078,12135642.5746448,5180000,0.222406964732747,1.53863345254587,3366623.79946896,1531000,0.219333145184153,6.46185454969631,236928.886007184,20956000,0.679757587325826,0.247184577209391,20956000,0.0730578354647834,-0.008398959175353,0.148507490460302,0.133046345040002,0.0438519123842925,0.325405747884596,1.24604248648231,16818046.1158758,0.58129385453577,0.525156189013052
"1989",47109000,7933000,4082000,1847000,2845000,34852000,19611000,19611000,0.0123205944573867,1.18836661575691,16502483.1057788,2845000,0.0466266235140985,1.61207356277408,1764807.80139107,1847000,-0.186107756079607,5.3645291154544,344298.625331172,24303000,0.806937415133934,0.117063736987203,24303000,0.0759988478788627,0.00378001517653267,0.228478314064998,-0.117628276594483,0.0278549185574326,0.138704956027948,1.25076145926726,19430563.5338632,0.671592115670289,0.62239510197026
"1990",65009000,6323000,4848000,1243000,3072000,53548000,22135000,22135000,-0.330303387445544,0.854085805864218,25916599.7702098,3072000,-0.0952134366722288,1.4656632066944,2095979.47602742,1243000,-0.173149972275443,4.51163055469798,275510.147590799,26450000,0.836862003780718,0.116143667296786,26450000,0.0469943289224953,-0.293226629960519,0.370983189886938,0.0200534095899942,-0.0137066619653753,0.377329937511557,0.932884297853742,28352926.5749812,0.979981970710763,0.858886479950426
"1991",57702000,1174000,9268000,211000,5838000,46843000,21489000,21489000,0.0700565344324552,0.916065802078776,23457921.8558713,5838000,-0.00594190065661911,1.4569802038413,4006917.85969928,211000,-0.0456195082148914,4.31043627124981,48950.9615087803,27538000,0.780339893964703,0.211997966446365,27538000,0.00766213958893166,0.0544261871151887,-0.0805976426813173,0.106318112108648,-0.0472178720809726,-0.0214974026536424,0.985064744429946,27955522.8787892,0.966246229663644,0.762347792860981
"1992",70219000,2585000,5626000,552000,2984000,61783000,24276000,24276000,-0.144312993580767,0.792961923598859,30614332.5140044,2982000,-0.165489917042232,1.23475926400441,2415045.6586405,549000,0.101214843875272,4.76955956328489,115104.967810045,27807000,0.872860635696821,0.107291816482094,27812000,0.0198475478210844,-0.144316584198882,0.220090607388762,-0.0808288693260716,0.0117607416232979,0.151022479685988,0.852685503754908,32616949.4819911,1.12736236759913,0.927720003932363
"1993",69082000,2212000,3391000,1188000,1894000,63044000,31346000,31346000,0.189921480532313,0.9588135985803,32692485.8454381,1893000,0.0497331392838475,1.29772036843103,1458711.78880291,1156000,0.481665504253917,7.72081146183837,149725.194782149,34395000,0.910479841989079,0.0550133612176136,34428000,0.0345067967933078,0.18647361131571,0.0585622073070556,-0.0409142530339949,0.00714643051037481,0.0247943847834356,1.02747991271943,33507224.3980708,1.15813356028102,0.912698177297533
"1994",62451000,1374000,6270000,277000,3518000,53698000,23201000,23201000,0.00776756785945199,0.966290248372145,24010384.0839597,3514000,0.0112714797055724,1.31243034308074,2677475.43214476,214000,-0.488795917787204,4.73567159242984,45188.9443394022,26929000,0.859423618313824,0.130315602311454,26996000,0.0102607793747222,-0.00302271579815322,-0.273148186785117,0.0562770521696219,-0.0268146391574514,-0.243685773772946,1.02437882217383,26353531.9313923,0.910875499536752,0.825090672974266
"1995",59847000,759000,6944000,154000,3947000,51054000,25741000,25741000,0.0591326039046468,1.02515270108021,25109430.0125986,3941000,0.0180930417313028,1.33639231888618,2948984.32466646,101000,-0.0327518821679172,4.58308187450399,22037.5727001235,29783000,0.862576234836807,0.132263253133168,29842000,0.0051605120300248,0.0530360545552841,0.03853583084618,0.0126807819409501,-0.00553704256066699,0.0456795702264631,1.08017434243601,27627021.7016081,0.954892014424403,0.790687122792123
"1996",64288000,1931000,6253000,316000,3430000,55064000,28064000,28064000,0.0188177943521676,1.0446264657883,26865105.2975402,3429000,-0.0478938080789174,1.2738959421962,2691742.61917217,284000,-0.0850106748339791,4.20957206542681,67465.2899596351,31777000,0.88223828984596,0.107827727129833,31810000,0.00993398302420622,0.0100257481835608,0.0589614445079133,-0.0109567939744198,0.0084443465470503,0.0564489970805438,1.09105836746698,29155177.1642159,1.00771071720764,0.849360765787091
"1997",68693000,1706000,9989000,309000,6962000,56218000,29247000,29247000,-0.0504392336479969,0.993243070267586,29445964.3117577,6960000,0.239273346943803,1.61826279116703,4300908.38026418,275000,0.0858214458136683,4.58679921103604,59954.6627936837,36482000,0.800892710444165,0.190645708965442,36518000,0.00846158059039378,-0.00595018294476225,0.0771956434604064,0.0699379155774817,-0.00108556439276062,0.146047994645127,1.0845856466108,33670001.1788967,1.16375972765523,0.907558783664333
"1998",62064800,2272000,10137800,459000,6794030,49402000,29137000,29137000,0.197053035611619,1.20957997890367,24088527.0161375,6794000,-0.0428615216856159,1.55036703713012,4382188.11242036,313000,-0.0860493130268869,4.20861295125091,74371.2961076567,36244000,0.800686341835937,0.186700313245139,36390030,0.0126133449189242,0.148804453223822,-0.160815510167011,0.00353232046870941,0.00227062728899775,-0.155012562409303,1.25860312465637,28913030.0784335,0.999341218641084,0.819988272405778
"1999",64556518,2011826,11135924,380128,7113025,51257768,29390687,29390687,-0.0568203518288846,1.14276735212228,25718871.7768471,7110177,-0.0421631523713547,1.48635757815269,4783624.81848872,361090,-0.0030913417658025,4.19562277913434,86063.5045161285,36861954,0.79684455306172,0.19284936167167,36883840,0.01030608526661,-0.0534230650366971,0.0523106404091284,0.016633844332587,0.0016732947223286,0.070617779464044,1.19312916904559,30913534.7260885,1.0684860556596,0.852908374269352
"2000",68447404,338601,11813223,69128,6685995,56209580,25768207,25768207,-0.0921157278797366,1.04220336763739,24724739.7198637,6685995,-0.126987731477897,1.30910122923788,5107317.02841069,68242,0.064822545393237,4.47660224748506,15244.150859804,32522444,0.792299158788476,0.20557535160145,32523330,0.00212548961007375,-0.0980871669495595,-0.0313225647442082,0.0130435552765451,-0.0107588416404946,-0.0290378511081578,1.08165496447891,30068118.8253669,1.03926535640415,0.904314016263974
"2001",54561446,776345,10937012,72890,6521446,42826089,17274135,17274135,-0.0265068057310985,1.01494080341479,17019844.844035,6521446,0.0521479540745037,1.37917951950834,4728496.84015379,65336,-0.936271955770742,1.75521678938531,37223.8918833958,23860917,0.723721892365875,0.273224288225249,23868471,0.00305381940887625,-0.010032847821673,-0.283059582837191,-0.0184497933031645,0.00231192683227074,-0.299197449308085,1.07085714185415,22289127.1553482,0.77039464329567,0.720855393806169
"2002",52113310,417784,1097123,59734,647616,50590167,23127431,23127431,0.149343714380925,1.17841934624477,19625807.2932181,647616,-0.211876927899276,1.11584486381008,580381.754672147,57291,-0.45167281061237,1.1173050332476,51276.0600688209,23832338,0.970322781652577,0.027171048896988,23834781,0.00250616945043464,0.0934183934826772,0.120671369084655,-0.315066127725897,0.000890357622668338,-0.193504401018574,1.17571654637189,20272557.2533202,0.700694531688522,0.688511088994837
"2003",52433417,378532,1250467,61707,1396552,50795531,22090822,22090822,-0.0548592843864482,1.11551336838623,19803278.5854982,1396552,0.616371763256347,2.06676298228758,675719.476286651,58046,0.0653560831132043,1.19276679772515,48665.0031764009,23545420,0.938075757605997,0.0593038853618109,23549081,0.00262035703219162,-0.0255288103952077,0.0085898071081008,0.00657606979269032,-0.000133965946036155,0.015031910954755,1.14608178117892,20547469.9857597,0.710196532146822,0.692740281482607
"2004",57395284,193895,1434998,40016,964653,55759583,23378201,23378201,-0.0362092806796734,1.07584396614622,21730103.7470546,964653,-0.524623513222562,1.22306511021977,788717.617679948,39779,-0.0912155356450486,1.08878251456222,36535.3038535839,24382633,0.958796113829094,0.0395627340013706,24382870,0.00164115216953542,-0.0604704175207064,0.0880632815065818,0.0076438896694543,-0.000610847134938154,0.0950963240410979,1.07883155344928,22601183.5879682,0.781180467362301,0.758295519705195
"2005",70810855,261235,1614536,47345,1240678,68930569,26848059,26848059,-0.0634157982425469,1.00973673666241,26589167.2801206,1240678,0.133213827364916,1.39734487873788,887882.45398703,47262,0.0157628403628552,1.10608079638688,42729.247406144,28135999,0.954221664551589,0.0440956207051145,28136082,0.00168271474329653,-0.0550593531315788,0.193028581610695,0.0049538715047711,0.000260266448660494,0.198242719564126,1.02103743891538,27556366.6204916,0.952449913590467,0.935539479044902
"2006",66779962,211417,1677472,37679,1520536,64888153,24460822,24460822,-0.0358341691073916,0.97419428010739,25108771.9354127,1520536,0.158981789692479,1.63813059481088,928214.151433724,37502,-0.0856782430186019,1.01525997246401,36938.3222200551,26018860,0.940112503010776,0.0584393649926398,26019037,0.00144813199658389,-0.0259244704109257,-0.0542600037887333,0.00227746148454442,-0.000227978995490079,-0.052210521299679,0.994907746675014,26152210.6818001,0.903917092812864,0.882284091332019
"2007",75689863,264942,1177908,44643,644894,74243473,28242553,28242553,0.0261445290009919,1,28242553,644894,-0.493555710464522,1,644894,44356,-0.0151447102043506,1,44356,28931803,0.976167051879073,0.0222899209839317,28932090,0.00154302713699563,0.00510526303155597,0.112689260219637,-0.0146998548346777,0.000273688716263653,0.0982630941012232,1,28932090,1,1
"2008",84876949,321731,1143620,52345,1050288,83407283,29546621,29546621,-0.0554879965085816,0.946023379185795,31232442.7176732,1050288,0.536021346263152,1.709193029,614493.496158531,52181,-0.0406853818473237,0.960131157124673,54347.7832302283,30649090,0.964024148842252,0.0342679792467379,30649254,0.00170787191100964,-0.0387366724086301,0.0976183658801435,-0.00136552311832008,0.000330219561332969,0.0965830623231564,0.962003997991612,31859798.9862691,1.10119244708105,1.12137802389733
"2009",71202455,346897,1050025,57017,669762,69798416,26175574,26175574,0.0313445072741659,0.976145633318816,26815234.4348508,669762,-0.353117824751603,1.2006985609103,557810.279619413,56930,0.0516217165217476,1.01099635498366,56310.7866011251,26902266,0.972984556406646,0.0248960379041937,26902353,0.00211940568916035,0.0200101425256097,-0.147684526786821,-0.00286293025676599,0.0000679002724797899,-0.150479556771107,0.981447722170314,27410887.3985766,0.947421613805868,0.940713223381049
"2010",84043763,346204,739697,62498,366315,82953358,27637421,27637421,-0.0856993777376145,0.895974911486771,30846199.6487589,366315,-0.225318392769219,0.958472055568717,382186.416256699,62103,0.00365679659356044,1.01470013086088,61203.3034304542,28065839,0.984721391548293,0.013051804527818,28066234,0.00222680392388947,-0.0881543175971488,0.137081878650354,-0.00717423719937495,0.000181052351680485,0.13008869380266,0.898632740966958,31232151.601554,1.07949863288667,1.11037012974908
"2011",91564734,292331,1232205,49230,934936,90028340,28298388,28298388,-0.0846321403799707,0.823266753615588,34373291.373325,934936,0.380719450536907,1.4025676313931,666588.889600549,49044,-0.051403472152878,0.963858922645223,50882.9651806337,29282368,0.966390704854501,0.031928089332645,29282554,0.00168120581285362,-0.074101478816866,0.105619838446746,0.0125103705140998,-0.000360851883273547,0.117769357077572,0.834450106388785,35092036.9903539,1.21291054294225,1.20973576078477
"2012",112299781,435224,1582444,79295,686499,110273505,30277566,30277566,-0.131495932348884,0.721826163611151,41945786.293652,685800,-0.537071767507756,0.819740716407476,836605.997815416,79272,-0.0187275929542026,0.945976138483181,83799.1538846933,31042638,0.975331471850985,0.0221141976899408,31043360,0.00255433045907402,-0.142216237999509,0.193296629802107,0.00613865608147189,0.00105654333134919,0.200491829214928,0.723830113280203,42887632.6508714,1.48235515135172,1.48368323774083
"2013",107979049,566588,1685435,101323,1013530,105715790,31327557,31327557,0.106609347682323,0.803031295942346,39011626.5185375,1010363,0.455977007541717,1.29331646106438,781218.696596879,101265,0.0174774156633157,0.962654681023125,105193.484222581,32439185,0.965635937650748,0.0312408973316101,32442410,0.00312316501764203,0.115676596956516,-0.0703777938836319,-0.00182736122018782,0.000645470062795288,-0.0715596850410244,0.812595391017772,39924432.6987457,1.37993600527116,1.42659855256971
"2014",101248663,495128,1817373,86368,1118769,98912956,32257739,32257739,0.0983120979353935,0.885990107239615,36408689.8221719,1117465,-0.0702846212772441,1.20553710513395,926943.679494487,86257,0.0303668804073752,0.992335882508033,86923.1895373911,33461461,0.963985851066716,0.0334331394587841,33462876,0.00258100947449944,0.0926663970365013,-0.066622353463361,0.00553084848022275,-0.000544111255386882,-0.0616356162385252,0.891494892945811,37535690.0693249,1.29737222818417,1.3376779794145
"2015",103398504,59022,1416364,10820,1181477,101922994,33430518,33430518,0.0238594884751332,0.907383581783817,36842762.7203473,1181477,0.207692023328819,1.48381610909789,796242.197908405,10796,0.0693699687666524,1.06361802882321,10150.2604388388,34622791,0.965563256482756,0.0341242328216235,34622815,0.000312510695620792,0.0301349527186516,0.0114342412078208,-0.00513400223104944,-0.0031069541542869,0.00319328482248444,0.918768936432159,37683919.8922531,1.30249559890948,1.36608126771216
"2016",118133930,301897,2068033,51947,1043474,112438545,32394862,32394862,-0.11140635801586,0.811722810382009,39908773.7657077,1043474,-0.48778757280112,0.911038290395065,1145367.88519339,51809,-0.136956979973837,0.92748315260241,55859.774762086,33490145,0.967291378218572,0.0311575151514844,33490283,0.00155110662994398,-0.123715578109451,0.0772532933307476,0.0118674956265946,0.00158905539700329,0.0907098443543454,0.81185283275636,41251667.3573652,1.42581014221113,1.56076289898953
"2017",116367995,244422,1805320,39457,1051918,114294861,36060940,36060940,0.0515609721522563,0.854673810118505,42192634.8661602,1051918,0.148615323358603,1.05701085019679,995181.83735215,39369,-0.0517257721822553,0.880728017285382,44700.51960121,37152227,0.970624306991368,0.0283136595929486,37152315,0.00106203341568352,0.0543119889285049,0.0539220029626008,-0.00417950599846503,-0.000291181414716767,0.049451315549419,0.85716554863873,43343220.0570844,1.49810193653775,1.5374317033709
